                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     52,               0.026934,               0.030336,               0.011884,                      0,                0.96841,                0.95356,                0.98601,                 0.8163,                0.94639,                0.93178,                0.95934,                0.58272,               0.018678,               0.014888,              0.0031041,                      0,               0.007705,               0.007705,               0.007705
                     53,               0.026544,               0.030389,               0.011714,                      0,                0.97181,                0.94212,                0.98688,                0.81227,                0.95553,                0.91136,                0.94958,                0.57724,               0.018613,               0.015178,              0.0032311,                      0,                0.00766,                0.00766,                0.00766
                     54,               0.026471,               0.030561,               0.011505,                      0,                0.97012,                0.96397,                0.98936,                0.81942,                0.94375,                0.93355,                0.95435,                0.56736,               0.018586,               0.015494,               0.003062,                      0,               0.007615,               0.007615,               0.007615
                     55,               0.025665,               0.030063,               0.011491,                      0,                0.97172,                0.95382,                0.98776,                0.80075,                0.94806,                 0.9289,                0.95748,                0.57929,               0.018594,               0.015032,              0.0032229,                      0,                0.00757,                0.00757,                0.00757
                     56,               0.026161,               0.029957,                0.01121,                      0,                0.95905,                0.96016,                 0.9892,                0.81839,                0.94205,                0.91922,                 0.9523,                  0.576,                0.01814,               0.014693,               0.003064,                      0,               0.007525,               0.007525,               0.007525
                     57,               0.026305,               0.030278,               0.011666,                      0,                0.97356,                0.97169,                0.99059,                0.82086,                0.95498,                0.94971,                0.96372,                0.59146,               0.018383,               0.014603,              0.0029831,                      0,                0.00748,                0.00748,                0.00748
                     58,               0.027224,               0.029748,               0.011431,                      0,                0.96993,                0.96748,                0.98843,                0.81901,                0.94724,                0.93732,                0.95556,                0.57913,               0.018616,               0.014883,              0.0031041,                      0,               0.007435,               0.007435,               0.007435
                     59,               0.025932,               0.029781,               0.011274,                      0,                 0.9739,                0.95617,                0.98868,                 0.8236,                0.95716,                0.93025,                0.96103,                0.58011,               0.018036,               0.014565,               0.003042,                      0,                0.00739,                0.00739,                0.00739
                     60,               0.026135,               0.030258,               0.011576,                      0,                0.97845,                0.96306,                0.99117,                0.81674,                0.96483,                0.94377,                0.96599,                0.59335,               0.017978,               0.014133,              0.0030526,                      0,               0.007345,               0.007345,               0.007345
                     61,               0.025425,               0.029169,               0.011099,                      0,                0.97087,                0.95796,                0.98893,                0.81346,                 0.9465,                0.93073,                0.95159,                0.58275,               0.018257,               0.014579,              0.0030927,                      0,                 0.0073,                 0.0073,                 0.0073
